"treatment","replicate_culture","clone_no_in_replicate","phage_tp","bacteria_tp","time_shift","phage_tp_cat","bacteria_tp_cat","infective"
"phage_1",1,1,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",1,2,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",1,3,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",1,4,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",1,5,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",1,6,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",1,7,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",1,8,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",1,9,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",1,10,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",1,11,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",1,12,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",1,1,2,1,-1,"p_tp_2","b_tp_1",1
"phage_1",1,2,2,1,-1,"p_tp_2","b_tp_1",1
"phage_1",1,3,2,1,-1,"p_tp_2","b_tp_1",1
"phage_1",1,4,2,1,-1,"p_tp_2","b_tp_1",1
"phage_1",1,5,2,1,-1,"p_tp_2","b_tp_1",1
"phage_1",1,6,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",1,7,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",1,8,2,1,-1,"p_tp_2","b_tp_1",1
"phage_1",1,9,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",1,10,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",1,11,2,1,-1,"p_tp_2","b_tp_1",1
"phage_1",1,12,2,1,-1,"p_tp_2","b_tp_1",1
"phage_1",1,1,3,1,-2,"p_tp_3","b_tp_1",1
"phage_1",1,2,3,1,-2,"p_tp_3","b_tp_1",1
"phage_1",1,3,3,1,-2,"p_tp_3","b_tp_1",1
"phage_1",1,4,3,1,-2,"p_tp_3","b_tp_1",1
"phage_1",1,5,3,1,-2,"p_tp_3","b_tp_1",1
"phage_1",1,6,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",1,7,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",1,8,3,1,-2,"p_tp_3","b_tp_1",1
"phage_1",1,9,3,1,-2,"p_tp_3","b_tp_1",1
"phage_1",1,10,3,1,-2,"p_tp_3","b_tp_1",1
"phage_1",1,11,3,1,-2,"p_tp_3","b_tp_1",1
"phage_1",1,12,3,1,-2,"p_tp_3","b_tp_1",1
"phage_1",2,1,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",2,2,1,1,0,"p_tp_1","b_tp_1",1
"phage_1",2,3,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",2,4,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",2,5,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",2,6,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",2,7,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",2,8,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",2,9,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",2,10,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",2,11,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",2,12,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",2,1,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",2,2,2,1,-1,"p_tp_2","b_tp_1",1
"phage_1",2,3,2,1,-1,"p_tp_2","b_tp_1",1
"phage_1",2,4,2,1,-1,"p_tp_2","b_tp_1",1
"phage_1",2,5,2,1,-1,"p_tp_2","b_tp_1",1
"phage_1",2,6,2,1,-1,"p_tp_2","b_tp_1",1
"phage_1",2,7,2,1,-1,"p_tp_2","b_tp_1",1
"phage_1",2,8,2,1,-1,"p_tp_2","b_tp_1",1
"phage_1",2,9,2,1,-1,"p_tp_2","b_tp_1",1
"phage_1",2,10,2,1,-1,"p_tp_2","b_tp_1",1
"phage_1",2,11,2,1,-1,"p_tp_2","b_tp_1",1
"phage_1",2,12,2,1,-1,"p_tp_2","b_tp_1",1
"phage_1",2,1,3,1,-2,"p_tp_3","b_tp_1",1
"phage_1",2,2,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",2,3,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",2,4,3,1,-2,"p_tp_3","b_tp_1",1
"phage_1",2,5,3,1,-2,"p_tp_3","b_tp_1",1
"phage_1",2,6,3,1,-2,"p_tp_3","b_tp_1",1
"phage_1",2,7,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",2,8,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",2,9,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",2,10,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",2,11,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",2,12,3,1,-2,"p_tp_3","b_tp_1",0
"phage_1",3,1,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",3,2,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",3,3,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",3,4,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",3,5,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",3,6,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",3,7,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",3,8,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",3,9,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",3,10,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",3,11,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",3,12,1,1,0,"p_tp_1","b_tp_1",0
"phage_1",3,1,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",3,2,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",3,3,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",3,4,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",3,5,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",3,6,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",3,7,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",3,8,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",3,9,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",3,10,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",3,11,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",3,12,2,1,-1,"p_tp_2","b_tp_1",0
"phage_1",3,1,3,1,-2,"p_tp_3","b_tp_1",0
